id;creation_date;room_name;room_description;private_room
1;2019-06-07T09:53:58;Producer;Implementation Electronics Officer;true
2;2019-06-07T03:05:30;Albania web-readiness;Namibia;false
3;2019-06-07T07:02:45;zero administration;Multi-channelled Licensed;true
4;2019-06-07T05:36:05;Cambridgeshire Mississippi;HDD;true
5;2019-06-07T06:18:04;Small Frozen Sausages Planner;envisioneer Music Public-key;false
6;2019-06-06T23:49:48;Rubber Buckinghamshire Games;incentivize Tuna copy;false
7;2019-06-06T21:54:43;Mayotte;Industrial;true
8;2019-06-06T15:47:26;Markets Chief;capacitor archive;true
9;2019-06-07T05:41:24;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;true
10;2019-06-07T01:49:54;mission-critical Faroe Islands Plastic;Car Industrial deliverables;false
